JobId,MatchedJobs,OtherSuggested,Date,datepart,month,year
3594671,37,25,09-07-2015,09,07,2015
3594671,40,0,11-07-2015,11,07,2015
3575899,65,195,07-07-2015,07,07,2015
3694093,849,17055,28-07-2015,28,07,2015
3694093,868,11,30-07-2015,30,07,2015
3664129,29531,16079,23-07-2015,23,07,2015
3569435,232,13148,04-07-2015,04,07,2015
3683627,313,639,25-07-2015,25,07,2015
3452679,8,34,11-06-2015,11,06,2015
3452679,8,1,13-06-2015,13,06,2015
3670787,159,393,23-07-2015,23,07,2015
3670787,158,0,25-07-2015,25,07,2015
3540731,69,0,02-07-2015,02,07,2015
3309377,0,5,16-05-2015,16,05,2015
3698431,37,9,30-07-2015,30,07,2015
3474892,1901,36,18-06-2015,18,06,2015
3474892,1919,0,20-06-2015,20,06,2015
3474892,1897,11235,23-06-2015,23,06,2015
3474892,1900,0,25-06-2015,25,06,2015
3474892,1885,17,21-07-2015,21,07,2015
3474892,1894,0,23-07-2015,23,07,2015
3474892,1850,0,06-08-2015,06,08,2015
3569645,2953,17966,04-07-2015,04,07,2015
3539577,8928,2,02-07-2015,02,07,2015
3621287,30,1341,14-07-2015,14,07,2015
3621287,29,32,16-07-2015,16,07,2015
3657581,159,5515,21-07-2015,21,07,2015
3657581,163,15,23-07-2015,23,07,2015
3603687,25033,27488,11-07-2015,11,07,2015
3555349,1010,5123,03-07-2015,03,07,2015
3555349,1009,1031,04-07-2015,04,07,2015
3687609,292,0,28-07-2015,28,07,2015
3414121,51,0,04-06-2015,04,06,2015
3191887,5806,148,21-04-2015,21,04,2015
3191887,5538,1,23-04-2015,23,04,2015
3191887,959,0,06-08-2015,06,08,2015
3191887,971,3737,08-08-2015,08,08,2015
3711119,5110,91732,01-08-2015,01,08,2015
3507821,290,5411,25-06-2015,25,06,2015
3626825,0,0,16-07-2015,16,07,2015
3407569,2149,499,04-06-2015,04,06,2015
3556799,35,19589,03-07-2015,03,07,2015
3556799,35,0,04-07-2015,04,07,2015
3693137,6097,15196,28-07-2015,28,07,2015
